listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
10,92,230,16,2,nose blowing,faint-musical-notes-on-a-string-instrument--possibly-a-bass,acoustic bass,0,3,0,0,0,0.2
10,93,95,24,4,duck quack,bird-quacking,duck quack,1,3,0,0,0,0.6
10,93,193,23,4,duck quack,bird-quacking,duck quack,1,3,0,0,0,0.6
10,94,66,21,5,finger tapping,sound-of-something-cardboard-attached-to-a-moving-bicyle-wheel,film reel,0,low-intensity,0,1,0,0.6
10,94,203,12,5,finger tapping,sound-of-something-cardboard-attached-to-a-moving-bicyle-wheel,marching,0,low-intensity,0,1,0,0.6
10,95,53,12,4,door opening,something-metal-being-set-down-upon-a-table-or-counter-top,slicing bread,0,2,0,0,0,0.6
10,95,78,41,4,door opening,something-metal-being-set-down-upon-a-table-or-counter-top,train warning bell,0,2,0,0,0,0.6
10,95,248,14,4,door opening,something-metal-being-set-down-upon-a-table-or-counter-top,tap dancing,0,2,0,0,0,0.6
10,96,53,10,2,walking with heels,woman's-heel-noises-walkingaway,walking with heels,1,2,0,0,0,0.6
10,96,66,27,2,walking with heels,woman's-heel-noises-walkingaway,walking with heels,1,2,0,0,0,0.6
10,96,215,45,2,walking with heels,woman's-heel-noises-walkingaway,walking with heels,1,2,0,0,0,0.6
10,97,115,4,1,hammering a nail,faint-mechanical-musical-notes,cello,0,high-intensity,1,0,1,0.2
10,97,237,22,1,hammering a nail,faint-mechanical-musical-notes,ringtone,0,high-intensity,1,0,1,0.2
