listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
21,8,166,7,5,truck beeping,truck-in-reverse,truck beeping,1,high-intensity,1,0,1,0.2
21,9,57,10,6,vacuum,vacuum,vacuum,1,high-intensity,1,1,1,0.6
21,9,168,17,6,vacuum,vacuum,vacuum,1,high-intensity,1,1,1,0.6
21,10,65,19,6,drum roll,drum-roll,drum roll,1,high-intensity,1,0,1,0.4
21,10,243,11,6,drum roll,drum-roll,drum roll,1,high-intensity,1,0,1,0.4
21,11,106,36,3,tree falling,nan,waves,0,high-intensity,1,0,1,0.2
21,11,222,30,3,tree falling,nan,spray can shaking,0,high-intensity,1,0,1,0.2
21,19,116,38,2,microwave,copy-machine,walking on a hard surface,0,low-intensity,0,0,1,0.4
21,19,159,26,2,microwave,copy-machine,paper shredder,0,low-intensity,0,0,1,0.4
21,22,126,20,7,grating food,train,screwing in a nail,0,low-intensity,0,1,1,0.6
21,22,236,24,7,grating food,train,radar beeps,0,low-intensity,0,1,1,0.6
21,24,70,49,1,drink fizzing,nan,key opening door,0,low-intensity,1,0,1,0.2
21,24,235,15,1,drink fizzing,nan,water dripping,0,low-intensity,1,0,1,0.2
21,25,88,46,2,windup toy,scrolling,windup toy,0.5,low-intensity,1,0,1,0.8
21,25,247,5,2,windup toy,scrolling,sipping,0.5,low-intensity,1,0,1,0.8
21,26,82,48,7,phone vibrating,vibrating,phone vibrating,1,low-intensity,1,0,1,0.6
21,26,144,4,7,phone vibrating,vibrating,phone vibrating,1,low-intensity,1,0,1,0.6
21,35,76,31,6,typing,typing,typing,1,low-intensity,1,1,1,0.4
21,35,236,46,6,typing,typing,typing,1,low-intensity,1,1,1,0.4
21,36,135,16,1,zipper,nan,whistle,0,low-intensity,1,0,1,0
21,36,236,18,1,zipper,nan,shuffling,0,low-intensity,1,0,1,0
21,39,126,4,1,boat horn,nan,oboe,0,high-intensity,1,0,1,0.4
21,39,229,7,1,boat horn,nan,running on gravel,0,high-intensity,1,0,1,0.4
21,40,56,38,6,paper tearing,tearing,paper tearing,1,low-intensity,1,0,1,0.8
21,40,155,14,6,paper tearing,tearing,paper tearing,1,low-intensity,1,0,1,0.8
21,41,87,27,2,school bell,bell,school bell,1,high-intensity,0,0,1,0.4
21,41,245,49,2,school bell,bell,school bell,1,high-intensity,0,0,1,0.4
21,50,111,12,6,running on sand,nan,geese honking,0.5,low-intensity,1,0,1,0.2
21,50,166,39,6,running on sand,nan,running on sand,0.5,low-intensity,1,0,1,0.2
21,52,93,33,1,sighing,voice,sighing,1,low-intensity,1,0,1,0.6
21,52,192,26,1,sighing,voice,sighing,1,low-intensity,1,0,1,0.6
21,53,53,28,3,spray can spraying,nan,spray can spraying,0.333333333333333,low-intensity,0,0,1,0.2
21,53,123,1,3,spray can spraying,nan,sleigh bells,0.333333333333333,low-intensity,0,0,1,0.2
21,53,225,4,3,spray can spraying,nan,church bells,0.333333333333333,low-intensity,0,0,1,0.2
21,56,50,12,2,drawer closing,nan,hand saw,0,low-intensity,0,0,1,0.2
21,56,59,24,2,drawer closing,nan,writing on paper,0,low-intensity,0,0,1,0.2
21,59,102,16,7,whistle,whistle,whistle,1,high-intensity,1,0,1,0.4
21,59,170,38,7,whistle,whistle,whistle,1,high-intensity,1,0,1,0.4
21,60,47,46,2,inflating a balloon,nan,castanet,0,low-intensity,0,0,1,0.2
21,60,130,24,2,inflating a balloon,nan,pager beeps,0,low-intensity,0,0,1,0.2
21,65,67,40,4,rubbing hands,erase,paper tearing,0.5,low-intensity,1,0,1,0.2
21,65,247,24,4,rubbing hands,erase,rubbing hands,0.5,low-intensity,1,0,1,0.2
21,73,70,16,5,drawer opening,nan,drawer opening,0.5,low-intensity,0,0,1,0
21,73,171,25,5,drawer opening,nan,toilet flushing,0.5,low-intensity,0,0,1,0
21,77,136,47,6,bagpipes,bagpipes,bagpipes,1,high-intensity,0,0,1,0.2
21,77,199,1,6,bagpipes,bagpipes,bagpipes,1,high-intensity,0,0,1,0.2
21,78,98,47,1,crowd laughing,laughter,crowd laughing,1,high-intensity,0,0,1,0.4
21,78,205,36,1,crowd laughing,laughter,crowd laughing,1,high-intensity,0,0,1,0.4
21,80,55,32,5,writing on a whiteboard,squeaking,crow,0.5,low-intensity,1,0,1,1
21,80,210,25,5,writing on a whiteboard,squeaking,writing on a whiteboard,0.5,low-intensity,1,0,1,1
21,82,112,34,2,gunshots,gun,gunshots,1,high-intensity,1,0,1,0.4
