listener,listener_trial,reverb_condition,sound_heard,distance_rating,typical_source_intensity
3,63,unaltered,WalkingLeaves,2,medium-intensity
3,64,reverb,flag_flapping,6,control-low-intensity
3,65,reverb,PouringLiquid,4,low-intensity
3,66,unaltered,train_whistle,6,control-high-intensity
3,67,unaltered,fire_alarm,6,control-high-intensity
3,68,reverb,waves_at_beach,7,control-low-intensity
3,69,reverb,motorcycle_reving,6,control-high-intensity
3,70,reverb,HammerMetal,5,high-intensity
3,71,reverb,LeafBlower,6,high-intensity
3,72,reverb,fireworks,6,control-high-intensity
3,73,unaltered,Shovel,5,low-intensity
3,74,reverb,scream,7,control-high-intensity
3,75,unaltered,horse_neighing,5,control-low-intensity
3,76,reverb,heart_beat,5,control-low-intensity
3,77,reverb,CoinDrop,4,medium-intensity
3,78,unaltered,dentist_drill,6,control-low-intensity
3,79,unaltered,DroppingStones,2,high-intensity
3,80,unaltered,ChoppingVegetables,5,low-intensity
3,81,unaltered,drinking,5,control-low-intensity
3,82,unaltered,motorboat,1,control-high-intensity
3,83,reverb,dialup_internet,1,control-low-intensity
3,84,unaltered,cutting_with_scissors,1,control-low-intensity
3,85,reverb,wolf_howling,8,control-low-intensity
3,86,unaltered,car_crash,4,control-high-intensity
3,87,unaltered,train_passing_by,6,control-high-intensity
3,88,reverb,coloring,4,control-low-intensity
3,89,reverb,car_accelerating,7,control-low-intensity
3,90,unaltered,shower,7,control-low-intensity
3,91,reverb,whispering,2,control-low-intensity
3,92,reverb,HairDryer,5,high-intensity
3,93,reverb,writing_on_a_chalkboard,5,control-low-intensity
3,94,unaltered,rubbing_hands,7,control-low-intensity
3,95,reverb,Stapler,1,medium-intensity
3,96,reverb,Chainsaw,5,high-intensity
3,97,reverb,writing_on_paper,6,control-low-intensity
3,98,unaltered,FootsepsInPebble,2,medium-intensity
3,99,reverb,cuckoo_clock,4,control-low-intensity
3,100,unaltered,chainsaw_revving,6,control-high-intensity
3,101,unaltered,Drill,4,high-intensity
3,102,reverb,ElectricShaver,4,medium-intensity
3,103,reverb,race_car_passing_by,6,control-high-intensity
3,104,unaltered,SuitcaseRolling,6,low-intensity
3,105,reverb,RustlingBranch,6,low-intensity
3,106,reverb,frog_croaking,8,control-low-intensity
3,107,reverb,Ratchet,2,medium-intensity
3,108,unaltered,SawingWood,2,medium-intensity
3,109,reverb,printing,4,control-low-intensity
3,110,unaltered,Hatchet,2,medium-intensity
3,111,reverb,flushing,6,control-low-intensity
3,112,unaltered,duck_quack,5,control-low-intensity
3,113,unaltered,GlassSmash,5,high-intensity
3,114,unaltered,pig_snorting,7,control-low-intensity
3,115,reverb,Blender,5,high-intensity
3,116,reverb,clock_ticking,5,control-low-intensity
4,1,reverb,GlassSmash,5,high-intensity
4,2,unaltered,clock_ticking,4,control-low-intensity
4,3,reverb,scream,7,control-high-intensity
4,4,unaltered,printing,2,control-low-intensity
4,5,reverb,blender,5,control-low-intensity
4,6,unaltered,PouringLiquid,2,low-intensity
4,7,reverb,BranchTrimmer,4,low-intensity
4,8,unaltered,SprayCanShake,1,medium-intensity
4,9,reverb,owl_hooting,6,control-low-intensity
4,10,unaltered,airplane_taking_off,1,control-high-intensity
4,11,reverb,LeafBlower,7,high-intensity
4,12,unaltered,writing_on_paper,2,control-low-intensity
4,13,reverb,angry_shouting,5,control-low-intensity
4,14,unaltered,fire_alarm,4,control-high-intensity
4,15,unaltered,wolf_howling,7,control-low-intensity
4,16,unaltered,motorboat,6,control-high-intensity
4,17,reverb,PeelingVegetable,4,low-intensity
4,18,unaltered,bus,6,control-low-intensity
4,19,unaltered,HairDryer,2,high-intensity
4,20,unaltered,Scissors,4,low-intensity
4,21,unaltered,horse_neighing,6,control-low-intensity
4,22,reverb,electric_shaver,2,control-low-intensity
4,23,reverb,car_accelerating,7,control-low-intensity
4,24,reverb,ElectricShaver,7,medium-intensity
4,25,unaltered,cutting_with_scissors,6,control-low-intensity
4,26,reverb,glass_shattering,5,control-low-intensity
4,27,reverb,waves_at_beach,7,control-low-intensity
4,28,unaltered,rubbing_hands,5,control-low-intensity
4,29,unaltered,motorcycle_reving,4,control-high-intensity
4,30,unaltered,Blender,5,high-intensity
4,31,unaltered,busaccelerating,4,control-low-intensity
4,32,reverb,humming,6,control-low-intensity
4,33,unaltered,Shovel,4,low-intensity
4,34,unaltered,PepperGrinder,4,low-intensity
4,35,reverb,breathing,7,control-low-intensity
4,36,reverb,WaterSplash,4,low-intensity
4,37,reverb,CompressedAirSpray,7,high-intensity
4,38,unaltered,frog_croaking,6,control-low-intensity
4,39,unaltered,kettle_whistling,4,control-low-intensity
4,40,reverb,car_idling,4,control-low-intensity
4,41,unaltered,CrumplingPaper,4,medium-intensity
4,42,unaltered,crowd_cheering,4,control-high-intensity
4,43,reverb,bear,7,control-low-intensity
4,44,reverb,Lawnmower,2,high-intensity
4,45,reverb,NailsFromBox,2,medium-intensity
4,46,unaltered,car_skidding,7,control-low-intensity
4,47,reverb,fireworks,8,control-high-intensity
4,48,reverb,HammerNail,5,high-intensity
4,49,unaltered,train_warning_bell,4,control-high-intensity
4,50,unaltered,scratching,2,control-low-intensity
4,51,unaltered,BoilingKettle,8,medium-intensity
4,52,unaltered,finger_tapping,2,control-low-intensity
4,53,unaltered,cow_mooing,5,control-low-intensity
4,54,unaltered,HandsRubbing,1,low-intensity
4,55,reverb,rotary_telephone_dialer,4,control-low-intensity
4,56,reverb,flushing,5,control-low-intensity
4,57,unaltered,WalkingLeaves,2,medium-intensity
4,58,reverb,thunder,6,control-high-intensity
4,59,reverb,RustlingBranch,5,low-intensity
4,60,unaltered,train_passing_by,9,control-high-intensity
4,61,reverb,cash_register,6,control-low-intensity
4,62,unaltered,Ratchet,4,medium-intensity
4,63,reverb,shower,5,control-low-intensity
4,64,unaltered,BiteChewApple,5,low-intensity
4,65,unaltered,bowling_pins_falling,4,control-low-intensity
4,66,reverb,duck_quack,7,control-low-intensity
4,67,reverb,heart_beat,6,control-low-intensity
4,68,reverb,chainsaw_revving,4,control-high-intensity
4,69,reverb,DroppingStones,2,high-intensity
4,70,unaltered,ChoppingVegetables,6,low-intensity
4,71,unaltered,siren,2,control-high-intensity
4,72,reverb,cuckoo_clock,6,control-low-intensity
4,73,reverb,SuitcaseRolling,7,low-intensity
4,74,reverb,horse_galloping,6,control-low-intensity
4,75,unaltered,hair_dryer,2,control-low-intensity
4,76,reverb,typing,6,control-low-intensity
4,77,reverb,pig_snorting,6,control-low-intensity
4,78,reverb,Velcro,7,medium-intensity
4,79,unaltered,ClankingDishes,4,medium-intensity
4,80,reverb,BicycleBell,2,high-intensity
4,81,unaltered,SawingWood,4,medium-intensity
4,82,unaltered,ElectricCanOpener,4,high-intensity
4,83,reverb,computer_startup_sound,2,control-low-intensity
4,84,unaltered,race_car_passing_by,8,control-high-intensity
4,85,reverb,shuffling_cards,5,control-low-intensity
4,86,unaltered,Hatchet,1,medium-intensity
4,87,reverb,Typing,4,low-intensity
4,88,unaltered,dentist_drill,4,control-low-intensity
4,89,unaltered,jackhammer,7,control-high-intensity
4,90,unaltered,drinking,1,control-low-intensity
4,91,unaltered,FootsepsInPebble,2,medium-intensity
4,92,reverb,grandfather_clock_chimes,7,control-low-intensity
4,93,reverb,pool_balls_colliding,2,control-low-intensity
4,94,unaltered,Stapler,2,medium-intensity
4,95,unaltered,train_whistle,8,control-high-intensity
4,96,reverb,Chainsaw,5,high-intensity
4,97,reverb,HammerMetal,4,high-intensity
4,98,unaltered,slicing_bread,4,control-low-intensity
4,99,unaltered,Vacuum,4,high-intensity
4,100,unaltered,cat_purring,6,control-low-intensity
4,101,reverb,dialup_internet,5,control-low-intensity
4,102,reverb,CoffeeBeanGrinder,1,high-intensity
4,103,reverb,Drill,6,high-intensity
4,104,unaltered,flag_flapping,5,control-low-intensity
4,105,reverb,CoinDrop,4,medium-intensity
4,106,reverb,bees_buzzing,5,control-low-intensity
4,107,reverb,spraying,5,control-low-intensity
4,108,unaltered,BicycleFreewheel,6,medium-intensity
4,109,unaltered,car_crash,6,control-high-intensity
4,110,reverb,explosion,4,control-high-intensity
4,111,reverb,whispering,4,control-low-intensity
4,112,reverb,vegetable_peeler,5,control-low-intensity
4,113,reverb,FootstepsInSand,4,low-intensity
4,114,reverb,boat_horn,6,control-low-intensity
4,115,reverb,writing_on_a_chalkboard,5,control-low-intensity
4,116,reverb,coloring,4,control-low-intensity
5,1,unaltered,airplane_taking_off,4,control-high-intensity
5,2,reverb,PouringLiquid,5,low-intensity
5,3,unaltered,SprayCanShake,4,medium-intensity
5,4,unaltered,explosion,8,control-high-intensity
5,5,reverb,electric_shaver,5,control-low-intensity
5,6,reverb,Typing,5,low-intensity
5,7,reverb,busaccelerating,4,control-low-intensity
5,8,unaltered,vegetable_peeler,4,control-low-intensity
5,9,unaltered,Chainsaw,1,high-intensity
5,10,reverb,bees_buzzing,5,control-low-intensity
5,11,reverb,BranchTrimmer,2,low-intensity
5,12,unaltered,Ratchet,6,medium-intensity
5,13,reverb,NailsFromBox,9,medium-intensity
5,14,reverb,ElectricCanOpener,2,high-intensity
5,15,reverb,pig_snorting,4,control-low-intensity
5,16,reverb,horse_neighing,2,control-low-intensity
5,17,unaltered,coloring,5,control-low-intensity
5,18,reverb,shuffling_cards,5,control-low-intensity
5,19,reverb,cat_purring,4,control-low-intensity
5,20,reverb,thunder,4,control-high-intensity
5,21,reverb,frog_croaking,6,control-low-intensity
5,22,reverb,Velcro,6,medium-intensity
5,23,unaltered,WaterSplash,7,low-intensity
5,24,reverb,waves_at_beach,6,control-low-intensity
5,25,unaltered,blender,6,control-low-intensity
5,26,unaltered,rotary_telephone_dialer,1,control-low-intensity
5,27,reverb,train_warning_bell,6,control-high-intensity
5,28,unaltered,cash_register,2,control-low-intensity
5,29,reverb,angry_shouting,2,control-low-intensity
5,30,reverb,pool_balls_colliding,4,control-low-intensity
5,31,unaltered,dialup_internet,1,control-low-intensity
5,32,unaltered,owl_hooting,7,control-low-intensity
5,33,reverb,slicing_bread,7,control-low-intensity
5,34,reverb,cow_mooing,8,control-low-intensity
5,35,reverb,grandfather_clock_chimes,5,control-low-intensity
5,36,reverb,DroppingStones,7,high-intensity
5,37,unaltered,motorboat,1,control-high-intensity
5,38,unaltered,crowd_cheering,6,control-high-intensity
5,39,unaltered,Shovel,4,low-intensity
5,40,unaltered,SawingWood,9,medium-intensity
5,41,unaltered,flushing,4,control-low-intensity
5,42,reverb,rubbing_hands,2,control-low-intensity
5,43,unaltered,ChoppingVegetables,1,low-intensity
5,44,unaltered,car_crash,8,control-high-intensity
5,45,unaltered,ElectricShaver,4,medium-intensity
5,46,unaltered,Blender,4,high-intensity
5,47,unaltered,GlassSmash,6,high-intensity
5,48,unaltered,BicycleFreewheel,6,medium-intensity
5,49,unaltered,HammerMetal,2,high-intensity
5,50,reverb,flag_flapping,6,control-low-intensity
5,51,unaltered,Lawnmower,4,high-intensity
5,52,unaltered,PepperGrinder,5,low-intensity
5,53,reverb,horse_galloping,5,control-low-intensity
5,54,reverb,Drill,4,high-intensity
5,55,unaltered,bear,5,control-low-intensity
5,56,reverb,train_passing_by,5,control-high-intensity
5,57,reverb,motorcycle_reving,5,control-high-intensity
5,58,unaltered,FootsepsInPebble,1,medium-intensity
5,59,reverb,BicycleBell,5,high-intensity
5,60,reverb,dentist_drill,7,control-low-intensity
5,61,reverb,car_accelerating,7,control-low-intensity
5,62,reverb,breathing,5,control-low-intensity
5,63,unaltered,HammerNail,2,high-intensity
5,64,unaltered,fire_alarm,6,control-high-intensity
5,65,unaltered,humming,4,control-low-intensity
5,66,reverb,heart_beat,8,control-low-intensity
5,67,unaltered,scream,6,control-high-intensity
5,68,reverb,hair_dryer,5,control-low-intensity
5,69,reverb,clock_ticking,4,control-low-intensity
5,70,reverb,whispering,6,control-low-intensity
5,71,unaltered,shower,4,control-low-intensity
5,72,reverb,drinking,2,control-low-intensity
5,73,reverb,train_whistle,5,control-high-intensity
5,74,unaltered,car_idling,4,control-low-intensity
5,75,reverb,typing,2,control-low-intensity
5,76,reverb,CompressedAirSpray,2,high-intensity
5,77,unaltered,fireworks,8,control-high-intensity
5,78,reverb,cutting_with_scissors,7,control-low-intensity
5,79,reverb,Scissors,6,low-intensity
5,80,reverb,bowling_pins_falling,6,control-low-intensity
5,81,unaltered,car_skidding,5,control-low-intensity
5,82,reverb,jackhammer,5,control-high-intensity
5,83,unaltered,CoffeeBeanGrinder,5,high-intensity
5,84,reverb,chainsaw_revving,7,control-high-intensity
5,85,unaltered,BoilingKettle,1,medium-intensity
5,86,reverb,race_car_passing_by,4,control-high-intensity
5,87,unaltered,HandsRubbing,5,low-intensity
5,88,reverb,FootstepsInSand,6,low-intensity
5,89,reverb,Vacuum,6,high-intensity
5,90,reverb,writing_on_a_chalkboard,4,control-low-intensity
5,91,unaltered,LeafBlower,4,high-intensity
5,92,reverb,bus,6,control-low-intensity
5,93,reverb,boat_horn,9,control-low-intensity
5,94,unaltered,cuckoo_clock,1,control-low-intensity
